"2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14"
"証券コード","会社名","市場","業種","PER","東証1部平均
PER","PBR","東証1部平均
PBR","昨季
営業利益増加率(%)","今期予想
営業利益増加率(%)","四半期の見通し
悪1 - 5良","四半期の見通し
悪1 - 5良","自己資本比率(%)","IR活動の数
(分割,分売,優待新設,優待拡充,優待変更,自己株式取得)","上場日","株主優待","配当月","サイクロ","一か月の
25日移動曲線の
値動き","25日
移動平均曲線の
値動き
乖離率","一か月の
25日移動曲線の
出来高","25日
移動平均曲線
出来高
"1518-T","三井松島産業","東証1部","鉱業","18.1692094313453545","16.602955501136293","0.544042526683001793","0.598885724267571362","-114.331%","-660.886%","3","5","62.600%","0","1961-10-01","なし","3月末日","0.8333333333333334","→↑↑↑","0.460%","↑↑↑↑","-1.126%","468.025%","717.400%","3442.700%","540.773%","503.500%","693.385%","693.385%","285.714%","285.714%","936.050%","936.050%"
"1605-T","国際石油開発帝石","東証1部","鉱業","24.6609639056958052","16.602955501136293","0.565390631352871598","0.598885724267571362","-27.089%","-3.214%","3","3","68.200%","0","2006-04-03","なし","3月末日 [決算情報　年次]","0.5","→→↑→","-2.083%","↑↓↑↑","25.146%","42754.675%","265046.400%","306668.000%","1812.409%","1893.045%","59270.150%","59270.150%","231.609%","231.609%","69316.451%","69316.451%"
"1606-T","日本海洋掘削","東証1部","鉱業","","16.602955501136293","0.806777615194976039","0.598885724267571362","-89.536%","519.672%","1","2","53.100%","0","2009-12-17","なし","3月末日","0.6666666666666666","→↑↑↑","0.105%","↑↑↑↑","2.442%","1278.450%","3108.200%","6152.900%","550.045%","556.318%","432.500%","441.500%","137.302%","140.159%","1228.732%","1254.302%"
"1662-T","石油資源開発","東証1部","鉱業","26.9372693726937271","16.602955501136293","0.425445390166448223","0.598885724267571362","30.494%","-44.988%","3","1","80.500%","0","2003-12-10","なし","3月末日","0.5","↓↓↓↓","-4.266%","↑↑→↓","-21.263%","4679.550%","19745.600%","46039.800%","681.364%","665.136%","1886.200%","1886.200%","188.583%","188.583%","6177.392%","6177.392%"
"1663-T","K&Oエナジーグループ","東証1部","鉱業","12.0432432432432428","16.602955501136293","0.681968444165108933","0.598885724267571362","","30.730%","4","3","92.200%","0","2014-01-06","なし","12月末日 [決算情報　年次]","0.6666666666666666","↑↑↑↑","-1.073%","↑↓↑→","67.819%","1271.075%","","6499.600%","164.045%","164.045%","714.800%","714.800%","134.644%","134.644%","1198.002%","1198.002%"
"1711-T","省電舎","東証2部","建設業","31.3196229648671824","15.8257337701220262","6.53729207655160138","1.21499040903193167","-704.348%","-71.223%","3","2","28.800%","0","2004-12-16","なし","3月末日","0.4166666666666667","→→↑↑","10.124%","↑↓↑↑","-70.042%","33.525%","-27.000%","23.900%","126.864%","119.136%","76.100%","77.100%","236.079%","239.181%","55.402%","56.130%"
"1712-T","ダイセキ環境ソリューション","東証1部","建設業","15.5001878051834225","15.8257337701220262","1.90400024607434504","1.21499040903193167","-5.551%","128.571%","5","5","67.800%","1","2004-12-08","なし","2月末日","0.3333333333333333","→↓↓→","1.692%","↑↓↓↓","-19.290%","434.900%","497.600%","817.100%","131.500%","108.682%","160.800%","510.100%","131.528%","208.621%","400.412%","635.106%"
"1716-T","第一カッター興業","JQスタンダード","建設業","8.31989680748145766","15.8257337701220262","0.927415368854300537","1.21499040903193167","45.601%","42.373%","2","4","76.100%","1","2004-06-10","なし","6月末日","0.6666666666666666","↑↑↑↑","3.287%","↑↑↑↑","4.762%","24.936%","480.400%","607.500%","77.636%","77.636%","272.000%","272.000%","259.048%","259.048%","282.608%","282.608%"
"1717-T","明豊ファシリティワークス","JQスタンダード","建設業","11.7163974815220371","15.8257337701220262","2.29872710671894298","1.21499040903193167","16.960%","-58.413%","4","5","56.100%","0","2004-02-19","なし","3月末日","0.4166666666666667","↑→↑↑","5.232%","↑↓↓↓","-61.555%","22.244%","189.400%","208.200%","110.045%","115.682%","362.250%","364.250%","162.672%","163.570%","158.308%","159.182%"
"1718-T","美樹工業","JQスタンダード","建設業","5.45548121461657232","15.8257337701220262","0.539069850230121772","1.21499040903193167","9.128%","50.062%","5","4","38.700%","0","2003-10-29","あり","12月末日・6月末日","0.75","→↓→↑","2.376%","↑↓↑↓","-74.747%","19.560%","498.400%","788.300%","97.000%","97.000%","37.810%","37.810%","187.354%","187.354%","160.329%","160.329%"
"1719-T","安藤・間","東証1部","建設業","10.856510745891276","15.8257337701220262","1.86153637718466336","1.21499040903193167","53.333%","-3.661%","5","5","23.700%","1","2003-10-01","なし","3月末日","0.5","↓↓↓→","-0.940%","↑→↓↓","26.735%","3153.175%","5875.600%","6388.900%","1740.909%","1544.636%","7808.450%","7708.450%","240.915%","237.830%","5317.541%","5249.441%"
"1720-T","東急建設","東証1部","建設業","11.8558042686100986","15.8257337701220262","2.17588611827648792","1.21499040903193167","128.479%","73.307%","5","5","23.200%","1","2003-10-01","なし","3月末日","0.4166666666666667","↓↓↓→","4.804%","↑↓→↓","-24.617%","2420.800%","2316.600%","4467.300%","1037.136%","1131.682%","4570.050%","4570.050%","244.608%","244.608%","4145.026%","4145.026%"
"1721-T","コムシスホールディングス","東証1部","建設業","11.7572354789118361","15.8257337701220262","1.03108495460060845","1.21499040903193167","0.377%","-50.408%","1","2","73.000%","5","2003-09-29","なし","3月末日","0.4166666666666667","→→↑↑","6.521%","↑↑↑↑","172.223%","5957.250%","11239.800%","19277.600%","552.545%","421.500%","5732.850%","4843.350%","224.413%","189.593%","9358.192%","7906.190%"
